Number	Address	CrimeType	Date	Time
16-OPD-1138	417 W CHESTNUT ST	Criminal Mischief	6/28/16	6:48:00PM
16-OPD-1140	4985 COLLEGE CORNER PIKE	Theft - 23C	6/29/16	11:26:00PM
16-OPD-1141	5140 BROWN RD	Breaking And Entering	6/30/16	10:36:00AM
16-OPD-1143	103 W VINE ST	Breaking And Entering	6/30/16	2:42:00PM
16-OPD-1146	115 KELLY DR	Theft - 23F	7/1/16	11:44:00AM
16-OPD-1147	N LOCUST ST // W SYCAMORE ST	unspecified	7/2/16	2:23:00AM
16-OPD-1148	4985 COLLEGE CORNER PIKE	Misuse Of Credit Card	7/2/16	7:07:00AM
16-OPD-1150	5170 BROWN RD	Breaking And Entering	7/2/16	2:35:00PM
16-OPD-1153	5032 COLLEGE CORNER PIKE	unspecified	7/5/16	12:45:00AM
16-OPD-1155	5032 COLLEGE CORNER PIKE	Assault - Knowingly Harm Victim	7/5/16	7:24:00PM
16-OPD-1156	75 S MAIN ST	Sale of Liquor to Underage Person - underage consume beer in	7/6/16	2:46:00AM
16-OPD-1157	416 N CAMPUS AV	unspecified	7/6/16	1:27:00PM
16-OPD-1158	11 S POPLAR ST	Huff Julia M	7/6/16	4:46:00PM
16-OPD-1159	25 E WALNUT ST	Breaking And Entering	7/7/16	11:24:00AM
16-OPD-1161	119 ARDMORE DR	Criminal Damaging/Endangering - Knowingly Any Means	7/7/16	8:15:00PM
16-OPD-1162	304 MIAMI TRL	unspecified	7/8/16	10:22:00AM
16-OPD-1163	550 S. Locust St.	Theft -Without Consent	7/8/16	11:42:00AM
16-OPD-1164	212 S POPLAR ST	Theft -Deception	7/8/16	2:24:00PM
16-OPD-1166	40 HARVEST CT	"Criminal Mischief - Move, Deface, Tamper, Etc. Property Of A"	7/8/16	8:47:00PM
16-OPD-1167	4985 COLLEGE CORNER PIKE	Theft - 23H	7/9/16	5:25:00PM
16-OPD-1168	310 E CHURCH ST	Theft - 23H	7/9/16	6:21:00PM
16-OPD-1169	5032 COLLEGE CORNER PIKE	Criminal Trespass	7/9/16	6:40:00PM
16-OPD-1170	1406 OXFORD COMMONS	unspecified	7/10/16	2:36:00AM
16-OPD-1173	5201 College Corner PIke	Assault	7/11/16	2:45:00PM
16-OPD-1174	5720 COLLEGE CORNER PIKE	Theft -Without Consent	7/11/16	2:50:00PM
16-OPD-1175	626 BRILL DR	Burglary - Purpose To Commit Misdemeanor/Not Theft Offense	7/11/16	2:55:00PM
16-OPD-1176	5201 College Corner PIke	unspecified	7/11/16	1:30:00PM
16-OPD-1178	2203 SPRUCE LN	Criminal Mischief	7/11/16	3:49:00PM
16-OPD-1179	6214 HESTER RD	Telephone Harassment - violates 290321	7/12/16	6:55:00PM
16-OPD-1180	5720 COLLEGE CORNER PIKE	Theft - 23C	7/12/16	8:19:00PM
16-OPD-1182	402 HEATHER LN	Possession of Drugs_schedule I or II substance	10/28/16	12:00:00AM
16-OPD-1183	814 S MAIN ST	Criminal Damaging/Endangering	7/13/16	3:30:00AM
16-OPD-1185	5720 COLLEGE CORNER PIKE	Theft -Without Consent - 23C	7/13/16	12:58:00PM
16-OPD-1186	5300 HESTER RD	Burglary - Purpose To Commit Theft Offense Or Felony	7/14/16	1:08:00PM
16-OPD-1187	30 Day Circle Apt. A	unspecified	7/14/16	2:38:00PM
16-OPD-1188	5720 COLLEGE CORNER PIKE	Theft - 23C	7/13/16	4:03:00PM
16-OPD-1192	5720 COLLEGE CORNER PIKE	Theft - 23C	7/16/16	6:17:00PM
16-OPD-1193	300 S LOCUST ST	Theft -Without Consent	7/18/16	12:00:00AM
16-OPD-1194	44 JEFFREY DR	Theft -Without Consent	7/17/16	8:17:00AM
16-OPD-1195	42 JEFFREY DR	Theft -Without Consent	7/17/16	9:12:00AM
16-OPD-1196	66 KELLY DR	Theft - 23F	7/17/16	9:43:00AM
16-OPD-1197	19 APPLEWOOD CIR	Theft -Without Consent	7/17/16	11:17:00AM
16-OPD-1198	23 W SPRING ST	Criminal Damaging/Endangering - Knowingly Any Means	7/17/16	9:52:00PM
16-OPD-1199	McGuffey Ave and Fairfield Rd.	Domestic Violence - knowingly cause physical harm	7/18/16	12:02:00AM
16-OPD-1200	5720 COLLEGE CORNER PIKE	Theft - 23H	7/18/16	5:20:00PM
16-OPD-1201	5262 BROWN RD	Burglary - Purpose To Commit Theft Offense Or Felony	7/19/16	2:49:00PM
16-OPD-1202	15 E HIGH ST	Theft - 23C	7/19/16	7:59:00PM
16-OPD-1203	5076 COLLEGE CORNER PIKE	Theft -Deception	7/27/16	12:00:00AM
16-OPD-1204	109 S POPLAR ST	unspecified	7/20/16	10:31:00AM
16-OPD-1207	5262 BROWN RD	Burglary - Purpose To Commit Theft Offense Or Felony	7/21/16	7:47:00AM
16-OPD-1208	5201 COLLEGE CORNER PIKE	Theft -Without Consent	7/21/16	4:08:00PM
16-OPD-1209	5262 BROWN RD	Burglary	7/22/16	1:34:00AM
16-OPD-1210	5262 BROWN RD	Burglary - Purpose To Commit Theft Offense Or Felony	7/21/16	3:45:00AM
16-OPD-1211	304 N MAIN ST	Theft -Without Consent	7/22/16	7:01:00AM
16-OPD-1213	121 Lantern Ridge Rd.	Menacing By Stalking	7/22/16	8:40:00AM
16-OPD-1214	211 N BEECH ST	Theft - 23F	7/22/16	11:04:00AM
16-OPD-1217	159 JACQUELINE DR	Theft - 23F	7/23/16	8:26:00AM
16-OPD-1218	149 JACQUELINE DR	Theft - 23F	7/23/16	7:58:00AM
16-OPD-1219	5055 COLLEGE CORNER PIKE	Theft - 23C	7/23/16	1:19:00PM
16-OPD-1221	5291 HESTER RD	Domestic Violence - knowingly cause physical harm	7/24/16	2:04:00AM
16-OPD-1222	5720 COLLEGE CORNER PIKE	Theft - 23C	7/24/16	2:23:00PM
16-OPD-1225	716 ERIN DR	unspecified	7/25/16	10:11:00PM
16-OPD-1228	123 W SPRING ST	Theft - 23F	7/26/16	11:41:00AM
16-OPD-1229	300 S LOCUST ST	Theft -Without Consent - 23C	7/26/16	1:47:00PM
16-OPD-1230	7 MEADOW CIR	Theft -Without Consent	7/27/16	6:59:00AM
16-OPD-1231	29 Brigid Circle	Misuse Of Credit Card	7/27/16	10:04:00AM
16-OPD-1232	5195 Brown Rd	Unlawful Sexual Conduct with a Minor	7/27/16	9:37:00PM
16-OPD-1233	5720 COLLEGE CORNER PIKE	Theft -Without Consent - 23C	7/28/16	6:08:00PM
16-OPD-1234	11 S POPLAR ST	unspecified	7/29/16	1:27:00PM
16-OPD-1235	17 N POPLAR ST	Assault	7/29/16	1:20:00PM
16-OPD-1236	212 N BEECH ST	Burglary - Purpose To Commit Theft Offense Or Felony	7/29/16	8:34:00PM
16-OPD-1238	518 S MAIN ST	Theft - 23D	7/30/16	4:59:00PM
16-OPD-1240	5720 COLLEGE CORNER PIKE	Criminal Trespass - Land Premises Of Another	7/31/16	1:12:00PM
16-OPD-1242	5032 COLLEGE CORNER PIKE	Felonious Assault - Victim Seriously Harmed	8/1/16	12:00:00AM
16-OPD-1243	617 S COLLEGE AV	unspecified	7/31/16	8:46:00PM
16-OPD-1244	46 KELLY DR	Burglary - Purpose To Commit Theft Offense Or Felony	8/1/16	1:15:00AM
16-OPD-1245	205 W SYCAMORE ST	Criminal Damaging/Endangering	8/1/16	2:12:00AM
16-OPD-1246	124 W CHURCH ST	Theft -Without Consent	8/1/16	7:33:00AM
16-OPD-1247	616 S COLLEGE AV	Theft - 23H	8/1/16	10:25:00AM
16-OPD-1248	5032 COLLEGE CORNER PIKE	Burglary	8/1/16	12:00:00AM
16-OPD-1250	5032 College Corner Pike	Theft -Without Consent	8/2/16	5:16:00PM
16-OPD-1251	5720 COLLEGE CORNER PIKE	Criminal Trespass - Land Premises Of Another	8/3/16	12:17:00PM
16-OPD-1252	5720 COLLEGE CORNER PIKE	Theft - 23C	8/3/16	6:04:00PM
16-OPD-1253	5720 COLLEGE CORNER PIKE	unspecified	8/4/16	7:21:00PM
16-OPD-1255	5262 BROWN RD	Receiving Stolen Property	8/5/16	2:43:00AM
16-OPD-1256	5142 COLLEGE CORNER PIKE	Theft -Without Consent	8/5/16	11:00:00AM
16-OPD-1257	5399 COLLEGE CORNER PIKE	FAILURE OF PERSON SUMMONED TO APPEAR	8/5/16	11:46:00PM
16-OPD-1258	626 W CHESTNUT ST	Sale of Liquor to Underage Person - underage consume beer in	8/6/16	3:20:00AM
16-OPD-1260	6 E. Spring St.	Criminal Trespass - Land Premises Of Another	8/6/16	11:23:00AM
16-OPD-1261	112 S. Campus Avenue	Breaking And Entering	8/6/16	1:37:00PM
16-OPD-1263	21 LYNN ST	"Possessing Drug Abuse Instrument - obtain, use"	8/6/16	6:20:00PM
16-OPD-1264	0-BLK E CHURCH ST	PROHIBITED ACTS	8/7/16	2:46:00AM
16-OPD-1265	36 East High Street	Assault	8/7/16	2:50:00AM
16-OPD-1266	227 COUNTRY CLUB DR	Breaking And Entering	8/7/16	10:31:00AM
16-OPD-1267	229 COUNTRY CLUB DR	Breaking And Entering	8/7/16	11:26:00AM
16-OPD-1268	251 REAGAN PL	Theft - 23H	8/7/16	1:46:00PM
16-OPD-1269	302 N MAIN ST	"Criminal Mischief - Move, Deface, Tamper, Etc. Property Of A"	8/7/16	2:21:00PM
16-OPD-1270	6 E SYCAMORE ST	Domestic Violence - knowingly cause physical harm	8/8/16	2:31:00AM
16-OPD-1271	5032 COLLEGE CORNER PIKE	Theft - 23H	8/8/16	3:38:00AM
16-OPD-1272	11 S POPLAR ST	unspecified	8/8/16	3:54:00PM
16-OPD-1273	5720 COLLEGE CORNER PIKE	Theft - 23C	8/8/16	4:01:00PM
16-OPD-1274	28 E HIGH ST	Fening Lara L	8/8/16	4:23:00PM
16-OPD-1275	325 FOXFIRE DR	unspecified	8/8/16	9:28:00PM
16-OPD-1277	5720 COLLEGE CORNER PIKE	Criminal Trespass - Fail To Leave; Recklessly	8/9/16	8:20:00PM
16-OPD-1278	615 OGDEN CT	Theft -Without Consent	8/10/16	9:18:00AM
16-OPD-1284	20 W HIGH ST	Passing Bad Checks	8/12/16	12:00:00AM
16-OPD-1285	32 E. High St.	Theft - 23C	8/13/16	1:38:00PM
16-OPD-1287	5720 COLLEGE CORNER PIKE	Theft - 23C	8/13/16	4:00:00PM
16-OPD-1289	620 S COLLEGE AV	Theft - 23H	8/13/16	4:40:00PM
16-OPD-1292	601 S LOCUST ST	Theft - 23H	8/14/16	11:34:00AM
16-OPD-1293	819 S ELM ST	Theft - 23F	8/14/16	4:27:00PM
16-OPD-1294	319 N ELM ST	Criminal Trespass - Of a Motor Vehicle	8/15/16	6:17:00AM
16-OPD-1295	109 ACORN CIR	Vandalism_property is necessary for business	8/15/16	4:51:00PM
16-OPD-1296	5720 COLLEGE CORNER PIKE	Theft - 23H	8/15/16	6:17:00PM
16-OPD-1297	409 LINCOLN ST	Theft - 23F	8/15/16	12:06:00PM
16-OPD-1298	612 S COLLEGE AV	Receiving Stolen Property	8/16/16	12:07:00PM
16-OPD-1299	5032 COLLEGE CORNER PIKE	unspecified	8/16/16	1:46:00PM
16-OPD-1300	305 S LOCUST ST	Criminal Damaging/Endangering - Knowingly Any Means	8/16/16	2:10:00PM
16-OPD-1301	5032 COLLEGE CORNER PIKE	Possession of Drugs_marijuana	8/16/16	6:35:00PM
16-OPD-1302	5720 COLLEGE CORNER PIKE	Theft - 23H	8/16/16	6:31:00PM
16-OPD-1303	312 S COLLEGE AV	unspecified	8/16/16	10:00:00PM
16-OPD-1304	716 S COLLEGE AV	Theft -Without Consent	8/17/16	4:01:00PM
16-OPD-1305	639 W CHESTNUT ST	Telephone Harassment	8/18/16	4:20:00PM
16-OPD-1307	303 W HIGH ST	Theft - motor vehicle	8/18/16	7:05:00PM
16-OPD-1308	6 E SPRING ST	Theft - 23D	8/18/16	7:43:00PM
16-OPD-1310	326 W WITHROW ST	Burglary - Purpose To Commit Theft Offense Or Felony	8/19/16	12:18:00AM
16-OPD-1311	5032 COLLEGE CORNER PIKE	Theft - 23D	8/19/16	4:13:00PM
16-OPD-1312	5201 COLLEGE CORNER PIKE	Aggravated Burglary - Armed W/Deadly Weapon/Dangerous Ordnan	9/6/16	12:00:00AM
16-OPD-1314	13 W HIGH ST	Carrying Concealed Weapons	8/20/16	12:50:00AM
16-OPD-1317	20 S MAIN ST	Criminal Damaging/Endangering	8/21/16	12:33:00AM
16-OPD-1322	5223 BONHAM RD	Breaking And Entering	8/22/16	11:17:00AM
16-OPD-1324	36 E HIGH ST	Assault	8/22/16	1:14:00PM
16-OPD-1325	119 E HIGH ST	Theft - 23H	8/22/16	1:37:00PM
16-OPD-1327	11 S MAIN ST	unspecified	8/22/16	7:35:00PM
16-OPD-1328	111 E HIGH ST	Sale of Liquor to Underage Person - underage consume beer in	8/23/16	3:23:00AM
16-OPD-1329	110 East High Street	Sale of Liquor to Underage Person - underage consume beer in	8/23/16	4:27:00AM
16-OPD-1330	311 N BEECH ST	Criminal Mischief	8/23/16	12:12:00PM
16-OPD-1332	200 S. Campus Ave.	Burglary - Purpose To Commit Theft Offense Or Felony	8/22/16	10:47:00PM
16-OPD-1333	32 1/2 W HIGH ST	unspecified	8/23/16	11:31:00PM
16-OPD-1337	75 HUNTER WOODS DR	"Taking the Identity of Another_obtain, possess, or use"	8/24/16	6:43:00PM
16-OPD-1339	6099 FAIRFIELD RD	PETTY THEFT	8/24/16	9:45:00PM
16-OPD-1340	317 N POPLAR ST	Sale of Liquor to Underage Person - underage consume beer in	8/25/16	1:22:00AM
16-OPD-1341	110 N POPLAR ST	"Rape - Force, Threat Of"	8/25/16	4:06:00AM
16-OPD-1342	271 REAGAN PL	Theft - 23G	8/25/16	10:26:00AM
16-OPD-1343	605 MCGUFFEY AV	Theft - 23F	8/25/16	12:09:00PM
16-OPD-1344	5720 COLLEGE CORNER PIKE	Theft - 23C	8/25/16	12:43:00PM
16-OPD-1345	36 LYNN ST	"Telephone Harassment - call w/ purpose to abuse, threaten, a"	8/28/16	12:00:00AM
16-OPD-1346	12 LANTERN RIDGE RD	Domestic Violence - cause belief of imminent physical harm b	8/25/16	3:40:00PM
16-OPD-1348	36 E HIGH ST	Sale of Liquor to Underage Person - underage consume beer in	8/26/16	12:01:00AM
16-OPD-1349	E CHURCH ST // BISHOP ST	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	8/26/16	12:40:00AM
16-OPD-1350	E HIGH ST // N POPLAR ST	Sale of Liquor to Underage Person - underage consume beer in	8/26/16	12:54:00AM
16-OPD-1351	11 S POPLAR ST	Disorderly Conduct - intoxicated create risk of harm	8/26/16	1:37:00AM
16-OPD-1352	1804 OXFORD COMMONS	Theft - 23D	8/26/16	8:51:00AM
16-OPD-1353	210 N BEECH ST	Burglary - Purpose To Commit Misdemeanor/Not Theft Offense	8/26/16	9:09:00AM
16-OPD-1354	4985 COLLEGE CORNER PIKE	Misuse Of Credit Card - Obtain By Deception	8/26/16	9:31:00AM
16-OPD-1356	5146 COLLEGE CORNER PIKE	Aggravated Robbery	8/25/16	12:09:00PM
16-OPD-1359	17 N POPLAR ST	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	8/27/16	12:07:00AM
16-OPD-1360	36 E HIGH ST	Disorderly Conduct - intoxicated create risk of harm	8/27/16	1:09:00AM
16-OPD-1361	100-BLK E SPRING ST	Sale of Liquor to Underage Person - underage consume beer in	8/27/16	1:20:00AM
16-OPD-1362	310 TALLAWANDA RD	unspecified	8/27/16	2:31:00AM
16-OPD-1363	130 E HIGH ST	Driving While Under the Influence of Alcohol/Drugs	8/27/16	2:32:00AM
16-OPD-1368	5190 COLLEGE CORNER PIKE	Theft - 23D	8/27/16	12:54:00PM
16-OPD-1370	36 E HIGH ST	Sale of Liquor to Underage Person - underage consume beer in	8/27/16	4:28:00PM
16-OPD-1372	36 E HIGH ST	Sale of Liquor to Underage Person - underage consume beer in	8/27/16	5:31:00PM
16-OPD-1374	211 UNIVERSITY AV	DISORDERLY CONDUCT	8/27/16	7:13:00PM
16-OPD-1375	215 E WITHROW ST	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	8/27/16	8:04:00PM
16-OPD-1377	115 E VINE ST	Sale of Liquor to Underage Person - underage consume beer in	8/27/16	9:45:00PM
16-OPD-1378	S POPLAR ST / E COLLINS ST	Sale of Liquor to Underage Person - underage consume beer in	8/28/16	12:42:00AM
16-OPD-1379	E CHURCH ST // N CAMPUS AV	Disorderly Conduct - intoxicated annoy or alarm	8/28/16	1:05:00AM
16-OPD-1380	S MAIN ST // CHESTNUT ST	Sale of Liquor to Underage Person - underage consume beer in	8/28/16	1:42:00AM
16-OPD-1381	107 E SPRING ST	CERTAIN ACTS PROHIBTED	8/28/16	1:53:00AM
16-OPD-1382	36 E HIGH ST	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	8/27/16	4:20:00PM
16-OPD-1386	320 E VINE ST	Criminal Damaging/Endangering - Knowingly Any Means	8/28/16	11:42:00AM
16-OPD-1387	5032 COLLEGE CORNER PIKE	Burglary	8/28/16	11:54:00AM
16-OPD-1388	5720 COLLEGE CORNER PIKE	Theft - 23C	8/28/16	2:15:00PM
16-OPD-1389	523 S POPLAR ST	Criminal Damaging/Endangering - Knowingly Any Means	8/28/16	2:16:00PM
16-OPD-1390	5720 COLLEGE CORNER PIKE	Criminal Damaging/Endangering	8/28/16	5:02:00PM
16-OPD-1391	10 E WALNUT ST	unspecified	8/28/16	10:39:00PM
16-OPD-1392	302 N LOCUST ST	Domestic Violence - cause belief of imminent physical harm b	8/29/16	4:13:00AM
16-OPD-1394	218 N COLLEGE AV	Theft - 23G	8/29/16	11:48:00AM
16-OPD-1395	644 ERIN DR	Theft - 23D	8/28/16	3:57:00PM
16-OPD-1396	315 S MAIN ST	Criminal Damaging/Endangering - Knowingly Any Means	8/29/16	7:09:00PM
16-OPD-1398	111 E CHURCH ST	unspecified	8/30/16	12:08:00AM
16-OPD-1401	15 West High Street	Burglary - Purpose To Commit Misdemeanor/Not Theft Offense	8/30/16	5:09:00PM
16-OPD-1402	31 E HIGH ST	Criminal Damaging/Endangering - Knowingly Any Means	8/30/16	6:16:00PM
16-OPD-1403	4163 INDIAN TRACE DR	Theft - 23H	8/30/16	7:02:00PM
16-OPD-1408	11 S POPLAR ST	SALES TO AND USE BY UNDERAGE PERSONS;SECURE PUBLIC ACCOMOD	8/31/16	1:16:00AM
16-OPD-1409	36 E HIGH ST	DISORDERLY CONDUCT	8/31/16	2:03:00AM
16-OPD-1410	310 E VINE ST	Sale of Liquor to Underage Person - underage consume beer in	8/31/16	2:34:00AM
